id,month,count
261,2019-01-01 00:00:00,774
261,2019-02-01 00:00:00,700
261,2019-03-01 00:00:00,999
261,2019-04-01 00:00:00,1375
261,2019-05-01 00:00:00,1466
261,2019-06-01 00:00:00,1623
261,2019-07-01 00:00:00,1587
261,2019-08-01 00:00:00,1686
261,2019-09-01 00:00:00,1650
261,2019-10-01 00:00:00,1419
261,2019-11-01 00:00:00,1013
261,2019-12-01 00:00:00,666
262,2019-01-01 00:00:00,800
262,2019-02-01 00:00:00,747
262,2019-03-01 00:00:00,1036
262,2019-04-01 00:00:00,1210
262,2019-05-01 00:00:00,1268
262,2019-06-01 00:00:00,1630
262,2019-07-01 00:00:00,1399
262,2019-08-01 00:00:00,1477
262,2019-09-01 00:00:00,1460
262,2019-10-01 00:00:00,1270
262,2019-11-01 00:00:00,918
262,2019-12-01 00:00:00,623
264,2019-01-01 00:00:00,1180
264,2019-02-01 00:00:00,1080
264,2019-03-01 00:00:00,1495
264,2019-04-01 00:00:00,2074
264,2019-05-01 00:00:00,2309
264,2019-06-01 00:00:00,2514
264,2019-07-01 00:00:00,2729
264,2019-08-01 00:00:00,2967
264,2019-09-01 00:00:00,2825
264,2019-10-01 00:00:00,2583
264,2019-11-01 00:00:00,1646
264,2019-12-01 00:00:00,1050
265,2019-01-01 00:00:00,2133
265,2019-02-01 00:00:00,2063
265,2019-03-01 00:00:00,2931
265,2019-04-01 00:00:00,4113
265,2019-05-01 00:00:00,4395
265,2019-06-01 00:00:00,5242
265,2019-07-01 00:00:00,5344
265,2019-08-01 00:00:00,5681
265,2019-09-01 00:00:00,5560
265,2019-10-01 00:00:00,4595
265,2019-11-01 00:00:00,3399
265,2019-12-01 00:00:00,2090
266,2019-01-01 00:00:00,1177
266,2019-02-01 00:00:00,1276
266,2019-03-01 00:00:00,1576
266,2019-04-01 00:00:00,1948
266,2019-05-01 00:00:00,2160
266,2019-06-01 00:00:00,2355
266,2019-07-01 00:00:00,2695
266,2019-08-01 00:00:00,3081
266,2019-09-01 00:00:00,2936
266,2019-10-01 00:00:00,2818
266,2019-11-01 00:00:00,1874
266,2019-12-01 00:00:00,1440
267,2019-01-01 00:00:00,2335
267,2019-02-01 00:00:00,2358
267,2019-03-01 00:00:00,3038
267,2019-04-01 00:00:00,4063
267,2019-05-01 00:00:00,332
267,2019-07-01 00:00:00,3118
267,2019-08-01 00:00:00,3324
267,2019-09-01 00:00:00,3768
